year,suicides_no,population,suicides/100k pop, gdp_for_year ($) ,gdp_per_capita ($),country_id,sex_id,age_id,generation_id
2015,83,1711787,4.85,"63,767,597,194",4472,1,6108,9302,64805
2015,15,551149,2.72,"122,879,042,002",13087,99,6108,9302,64805
2016,14,536865,2.61,"125,816,640,421",13448,99,6108,9302,64805
2015,0,22962,0.0,"16,942,247,374",54909,51,6108,9302,64805
2016,0,22971,0.0,"20,304,098,101",64708,51,6108,9302,64805
2015,8,617440,1.3,"299,093,839,690",39793,83,6108,9302,64805
2015,34,2874645,1.18,"1,832,868,490,534",31537,29,6108,9302,64805
2015,408,5772938,7.07,"4,394,977,752,878",36510,23,6108,9302,64805
2015,127,1285407,9.88,"184,388,432,149",11784,19,6108,9302,64805
2015,35,537476,6.51,"6,678,178,340",1285,14,6108,9302,64805
2015,3,100065,3.0,"26,972,863,394",14382,59,6108,9302,64805
2015,10,178882,5.59,"41,508,609,233",15073,44,6108,9302,64805
2016,6,168917,3.55,"42,773,029,835",15742,44,6108,9302,64805
2015,1,33170,3.01,"57,784,495,265",107456,46,6108,9302,64805
2015,1,25588,3.91,"10,574,026,838",25750,40,6108,9302,64805
2015,7,94082,7.44,"11,692,287,066",10125,95,6108,9302,64805
2016,4,94001,4.26,"12,232,463,656",10570,95,6108,9302,64805
2015,484,11354811,4.26,"1,169,622,672,463",10228,89,6108,9302,64805
2015,34,1018674,3.34,"757,999,453,314",47206,60,6108,9302,64805
2016,35,1025443,3.41,"777,227,541,581",48108,60,6108,9302,64805
2015,41,581787,7.05,"12,611,087,031",2303,47,6108,9302,64805
2015,17,325007,5.23,"386,663,139,403",79187,25,6108,9302,64805
2015,8,328479,2.44,"54,315,722,500",15158,11,6108,9302,64805
2015,61,2176442,2.8,"477,355,617,456",13228,85,6108,9302,64805
2015,2,85120,2.35,"164,641,483,516",69937,48,6108,9302,64805
2016,0,88675,0.0,"152,451,923,077",62484,48,6108,9302,64805
2015,15,1060311,1.41,"177,911,101,680",9431,86,6108,9302,64805
2016,14,1041307,1.34,"187,805,922,349",10020,86,6108,9302,64805
2015,7,378130,1.85,"37,160,332,465",5492,47,6108,9302,64805
2015,15,249249,6.02,"304,097,759,674",81766,32,6108,9302,64805
2015,3,97579,3.07,"43,072,415,017",22036,2,6108,9302,64805
2015,34,5105930,0.67,"317,741,039,198",6403,73,6108,9302,64805
2015,47,2177807,2.16,"1,197,789,902,774",27108,28,6108,9302,64805
2015,38,585957,6.49,"497,918,109,302",54629,1,6108,9302,64805
2016,36,570983,6.3,"514,459,972,806",55594,1,6108,9302,64805
2015,20,462559,4.32,"679,289,166,858",86068,67,6108,9302,64805
2015,55,4632371,1.19,"401,399,422,443",6552,48,6108,9302,64805
2016,60,4525574,1.33,"411,755,164,833",6713,48,6108,9302,64805
2015,131,6267398,2.09,"859,796,872,794",11961,58,6108,9302,64805
2015,21,505233,4.16,"35,799,628,571",7326,0,6108,9302,64805
2015,117,2281055,5.13,"91,030,959,455",2256,49,6108,9302,64805
2015,104,3966564,2.62,"2,885,570,309,161",47240,40,6108,9302,64805
2015,1132,21633813,5.23,"18,120,714,000,000",60387,87,6108,9302,64805
2015,17,255067,6.66,"53,274,304,222",16696,0,6108,9302,64805
2016,18,246805,7.29,"11,183,458,131",4145,5,6108,9302,64805
2015,465,3289927,14.13,"594,749,285,413",14981,82,4243,3846,64805
2015,10,255540,3.91,"10,553,337,673",3775,72,4243,3846,64805
2016,4,255665,1.56,"10,546,135,160",3788,72,4243,3846,64805
2015,423,1762265,24.0,"1,349,034,029,453",60656,16,4243,3846,64805
2015,78,590968,13.2,"382,065,930,308",46484,90,4243,3846,64805
2016,86,605922,14.19,"390,799,991,147",46976,90,4243,3846,64805
